,security,DS_DSCODE_C,DS_IS_MAJOR,DS_IS_PRIMQT,DS_SECTYPE,DS_LAST_PRICE_DATE,DS_STATUS,DS_REGION,DS_COVERAGE,DS_QT_NAME,WS_SEC_6035,SYM_INST_ORGPERMID,Industry Group,Sector
702,@WORKP5,29581C,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,WORKPOINT ENTERTAINMENT,C764PH600,4295893357,SERVICE,MEDIA
703,@WORLD238,2633Z6,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,WORLD FLEX,C764H13I0,5000049113,CONSUMP,FASHION
704,@WPENE1,9216HC,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,WP ENERGY,C764H56J0,5044099150,RESOURC,ENERG
705,@YGGDR1,95375F,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,YGGDRAZIL GROUP,C764H1170,5071149108,SERVICE,-
706,@YONGC1,2681LT,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,YONG CONCRETE,C764H1420,5082422921,PROPCON,-
707,@YUASA2,26142M,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,YUASA BATTERY,C764ZN000,4295893449,INDUS,-
708,@ZENCO1,9404PC,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,ZEN CORPORATION,C764H1ZQ0,5056396728,AGRO,FOOD
709,@ZIGAI1,9126JZ,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,ZIGA INNOVATION,C764H0ZY0,5055474278,INDUS,-
710,@ABNAM91,776911,Y,1,Ordinary Share,12/13/2023 0:00,ACTIVE,THA,FULL COVERAGE,ASIA PLUS GROUP HDG.,C76449080,4295892752,FINCIAL,FIN
711,@ADVAN68,314926,Y,1,Ordinary Share,12/13/2023 0:00,ACTIVE,THA,RESEARCH,ADVANCED INFO SER.,C76426080,4295892724,TECH,ICT
712,@ADVAN88,27322R,Y,1,Ordinary Share,12/13/2023 0:00,ACTIVE,THA,FULL COVERAGE,ADVANCED INFO.TECH.,C764WR300,4295893424,TECH,ICT
713,@AEONT2,14859C,Y,1,Ordinary Share,12/13/2023 0:00,ACTIVE,THA,FULL COVERAGE,AE.THANA SINSAP (THAI.),C764CL790,4295893066,FINCIAL,FIN
714,@AIMCO5,9460XY,Y,1,Ordinary Share,12/13/2023 0:00,ACTIVE,THA,RESEARCH,AIM COML.GW.FH.&. LH. REIT,C764H10L0,5070824123,PROPCON,PF&REIT
715,@AIMIN5,9238Q6,Y,1,Ordinary Share,12/13/2023 0:00,ACTIVE,THA,RESEARCH,AIM INDL.GW.FH.&. LH. REIT,C764H00O0,5057830499,PROPCON,PF&REIT
